name,part_number,manufacturer_id,price,installation_difficulty,installation_time,symptoms,product_types,replacement_parts,manufacturer,availability,video_url,product_url
General Electric Dishwasher Roller And Bracket Assembly,PS11772007,WD30X22347,13.95,,,,Dishwasher.,,GE,In Stock,,https://www.partselect.com/PS11772007-GE-WD30X22347-ROLLER-AND-BRACKET-Assembly.htm?SourceCode=18
General Electric Dishwasher Upper Rack Wheel,PS11721505,WD35X20994,46.95,,,Not cleaning dishes properly,Dishwasher.,"AP5985220, WD00X0695, WD00X695, WD12X10065, WD12X10073, WD12X10099, WD12X10125, WD12X10148, WD12X10186, WD12X10191, WD12X10324, WD12X10335, WD12X10347, WD12X20974",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11721505-GE-WD35X20994-Dishwasher-Upper-Rack-Wheel.htm?SourceCode=18
General Electric Dishwasher Complete Lower Service Rack Assembly,PS12749241,WD28X25960,144.95,,,Not cleaning dishes properly,Dishwasher.,"WD12X10380, WD28X10071, WD28X10073, WD28X10075, WD28X10078, WD28X10082, WD28X10121, WD28X10129, WD28X10134, WD28X10138, WD28X10141, WD28X10143, WD28X10171, WD28X10201, WD28X10221, WD28X10223, WD28X10226, WD28X10250, WD28X10253, WD28X10257 ... Show more",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS12749241-GE-WD28X25960-Dishwasher-Complete-Lower-Service-Rack-Assembly.htm?SourceCode=18
General Electric Dishwasher Rack Slide End Cap,PS2370502,WD12X10304,20.95,,,Not cleaning dishes properly | Door won’t close | Door latch failure,Dishwasher.,"AP4484666, 1556527, WD12X344",GE,In Stock,https://www.youtube.com/watch?v=M33hBsRtum8,https://www.partselect.com/PS2370502-GE-WD12X10304-Dishwasher-Rack-Slide-End-Cap.htm?SourceCode=18
General Electric Dishwasher Silverware Basket,PS959351,WD28X10128,39.95,,,Not cleaning dishes properly | Leaking,Dishwasher.,"AP3772889, 1088673, WD28X10128, WD28X10127, WD28X10131, WD28X10132, WD28X10236",GE,In Stock,https://www.youtube.com/watch?v=c-kEhlKB80o,https://www.partselect.com/PS959351-GE-WD28X10128-Dishwasher-Silverware-Basket.htm?SourceCode=18
General Electric Dishwasher Complete Silverware Basket Assembly,PS11772005,WD28X22867,49.93,,,,Dishwasher.,"WD28X20151, WD28X20152, WD28X20154, WD28X20155, WD28X22624, WD28X22625",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11772005-GE-WD28X22867-Complete-Silverware-Basket-Assembly.htm?SourceCode=18
General Electric Dishwasher Basket W/lids,PS1016011,WD28X10177,39.95,,,Not cleaning dishes properly,Dishwasher.,"AP3860905, 1168340, WD28X10048, WD28X10052, WD28X10079, WD28X10081, WD28X10178, WD28X10179, WD28X10235, WD28X10238, WD34X10294",GE,In Stock,https://www.youtube.com/watch?v=3rUM-eHDQJ0,https://www.partselect.com/PS1016011-GE-WD28X10177-Dishwasher-Basket-w-Lids.htm?SourceCode=18
General Electric Dishwasher Upper Rack End Cap,PS958986,WD12X10184,13.95,,,,Dishwasher.,"AP3767716, 1057214, WD12X10123",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS958986-GE-WD12X10184-Dishwasher-Upper-Rack-End-Cap.htm?SourceCode=18
General Electric Dishwasher Upper Rack Rail Assembly,PS8767476,WD30X20110,57.77,,,,Dishwasher.,,GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS8767476-GE-WD30X20110-Upper-Rack-Rail-Assembly.htm?SourceCode=18
General Electric Dishwasher Silverware Basket And Lid,PS12710109,WD28X24747,37.95,,,,Dishwasher.,,GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS12710109-GE-WD28X24747-SILVERWARE-BASKET-AND-LID.htm?SourceCode=18
General Electric Dishwasher Silverware Basket Assembly,PS11759027,WD28X22621,33.95,,,,Dishwasher.,"AP6027471, WD28X10342, WD28X10343, WD28X10344, WD28X10345, WD28X22510, WD28X22511",GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11759027-GE-WD28X22621-Dishwasher-Silverware-Basket-Assembly.htm?SourceCode=18
General Electric Dishwasher Drain Pump Kit,PS12582714,WD19X24829,56.95,,,Not draining | Leaking,Dishwasher.,WD19X24394,GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS12582714-GE-WD19X24829-Drain-Pump-Kit.htm?SourceCode=18
General Electric Dishwasher Drain Pump,PS12730507,WD19X25461,45.95,,,Not draining,Dishwasher.,WD19X26143,GE,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS12730507-GE-WD19X25461-DRAIN-PUMP.htm?SourceCode=18
